make,ev_count,share_pct
TESLA,110537,40.77
CHEVROLET,19044,7.02
NISSAN,15955,5.88
FORD,14938,5.51
KIA,13617,5.02
TOYOTA,11381,4.20
BMW,11202,4.13
HYUNDAI,9828,3.63
RIVIAN,8511,3.14
VOLKSWAGE,7368,2.72
VOLVO,7115,2.62
JEEP,6886,2.54
AUDI,5816,2.15
CHRYSLER,3875,1.43
MERCEDES-,3258,1.20
HONDA,3005,1.11
SUBARU,2618,0.97
CADILLAC,2227,0.82
PORSCHE,1953,0.72
POLESTAR,1563,0.58
MAZDA,1498,0.55
LEXUS,1355,0.50
MITSUBISH,1248,0.46
MINI,1210,0.45
FIAT,852,0.31
DODGE,838,0.31
LUCID,633,0.23
GMC,519,0.19
GENESIS,492,0.18
LINCOLN,433,0.16
ACURA,355,0.13
SMART,232,0.09
LAND ROVE,221,0.08
JAGUAR,168,0.06
FISKER,151,0.06
ALFA ROME,99,0.04
BRIGHTDRO,46,0.02
LAMBORGHI,23,0.01
RAM,10,0.00
BENTLEY,9,0.00
ROLLS-ROY,6,0.00
TH!NK,6,0.00
VINFAST,4,0.00
AZURE DYN,3,0.00
MULLEN AU,2,0.00
WHEEGO EL,2,0.00
MASERATI,1,0.00
