city,county,ev_count
Seattle,King,42105
Bellevue,King,13120
Vancouver,Clark,10136
Redmond,King,9242
Kirkland,King,7702
Sammamish,King,7539
Renton,King,7448
Bothell,Snohomish,7063
Olympia,Thurston,6364
Tacoma,Pierce,5900
Kent,King,4622
Spokane,Spokane,4542
Bellingham,Whatcom,4495
Lynnwood,Snohomish,4425
Everett,Snohomish,4266
Issaquah,King,4001
Snohomish,Snohomish,3166
Mercer Island,King,3112
Shoreline,King,2951
Woodinville,King,2943
Gig Harbor,Pierce,2918
Edmonds,Snohomish,2856
Tukwila,King,2776
Auburn,King,2715
Federal Way,King,2420
Camas,Clark,2405
Bainbridge Island,Kitsap,2374
Maple Valley,King,2351
Marysville,Snohomish,2276
Lake Stevens,Snohomish,2273
